"DOSSIERNR","SUBDOSSIER","RGL","FILLER","DSNR_VVKEY","SUBD_VVKEY","RSI_1","VG_NR","RSI_2","HN_1X45","RSI_3","HN_1X2X30","HN_2X2X30","RSI_4","HN_1X30","RSI_5","STR_HSNR","RSI_6","STRAATNAAM","RSI_7","HUISNR","RSI_8","TOEV_HSNR","RSI_9","PC_WPL","RSI_10","POSTCODE","RSI_11","WOONPLAATS","RSI_12","FILLER1","VSI","STR_HS_CA","RSI_13","STRNAAM_CA","RSI_14","HSNR_CA","RSI_15","TOEVHN_CA","RSI_16","PC_WPL_CA","RSI_17","POSTCD_CA","RSI_18","WOONPL_CA","RSI_19","NMI","RSI_20"
"01042583","0000","H",,"00000951","3515","3",,,"La Pasa","3","La Pasa",,"3","La Pasa","3","Dokter Siebingasingel 137","3","Dokter Siebingasingel","3",137,"3",,"3","9218 PX  OPEINDE","3","9218PX","3","OPEINDE","3",,"B","Dokter Siebingasingel 137","3","Dokter Siebingasingel","3",137,"3",,"3","9218 PX  OPEINDE","3","9218PX","3","OPEINDE","3","0","3"
"01064786","0000","H",,"00001849","1049","0",,,"Moba Hotel Exploitatie B.V.","0","Moba Hotel Exploitatie B.V.",,"0","Moba Hotel Exploitatie B.V.","0","Sonnegaweg 16-B","0","Sonnegaweg","0",16,"0","B","0","8478 HC  SONNEGA","0","8478HC","0","SONNEGA","0",,"E","Sonnegaweg 16-B","0","Sonnegaweg","0",16,"0","B","0","8478 HC  SONNEGA","0","8478HC","0","SONNEGA","0","0","0"
"01068751","0000","H",,"00001041","3979","0",,,"SIP Construct","1","SIP Construct",,"1","SIP Construct","1","Het Helmhout 75","0","Het Helmhout","0",75,"0",,"0","9206 AZ  DRACHTEN","0","9206AZ","0","DRACHTEN","0",,"C","Het Helmhout 75","0","Het Helmhout","0",75,"0",,"0","9206 AZ  DRACHTEN","0","9206AZ","0","DRACHTEN","0","0","0"
"01081323","0000","H",,,,"0",,,"Stichting Vogelringstation Schiermonnikoog","0","Stichting Vogelringstation","Schiermonnikoog","0","Stichting Schiermonnikoog","0","Hoogenweg 36","1","Hoogenweg","1",36,"1",,"0","7793 HL  HOOGENWEG","1","7793HL","1","HOOGENWEG","1",,"C","Hoogenweg 36","1","Hoogenweg","1",36,"1",,"0","7793 HL  HOOGENWEG","1","7793HL","1","HOOGENWEG","1","0","0"
"01081601","0000","H",,"00000463","8387","0",,,"Bareinse B.V.","0","Bareinse B.V.",,"0","Bareinse B.V.","0","Fonteinkruid 55","1","Fonteinkruid","1",55,"1",,"0","8445 RX  HEERENVEEN","1","8445RX","1","HEERENVEEN","1",,"D","Fonteinkruid 55","1","Fonteinkruid","1",55,"1",,"0","8445 RX  HEERENVEEN","1","8445RX","1","HEERENVEEN","1","0","0"
"01088618","0000","H",,"00001551","4285","0",,,"Pedicure Emmy Schoonbeek","0","Pedicure Emmy Schoonbeek",,"0","Pedicure Emmy Schoonbeek","0","Baansend 11","0","Baansend","0",11,"0",,"0","9201 HL  DRACHTEN","0","9201HL","0","DRACHTEN","0",,"E","Baansend 11","0","Baansend","0",11,"0",,"0","9201 HL  DRACHTEN","0","9201HL","0","DRACHTEN","0","1","0"
"01091979","0000","H",,"00001098","2302","0",,,"Wind Beheer B.V.","0","Wind Beheer B.V.",,"0","Wind Beheer B.V.","0","Willem Frederiklaan 2","1","Willem Frederiklaan","1",2,"1",,"0","8448 PD  HEERENVEEN","1","8448PD","1","HEERENVEEN","1",,"D","Willem Frederiklaan 2","1","Willem Frederiklaan","1",2,"1",,"0","8448 PD  HEERENVEEN","1","8448PD","1","HEERENVEEN","1","0","0"
"01102049","0000","H",,"00000807","0318","0",,,"Tegelzetbedrijf Romke Krist","0","Tegelzetbedrijf Romke Krist",,"0","Tegelzetbedrijf Romke Krist","0","Amperelaan 7-17","1","Amperelaan","1",7,"1","17","1","9207 AM  DRACHTEN","1","9207AM","1","DRACHTEN","0",,"C","Amperelaan 7-17","1","Amperelaan","1",7,"1","17","1","9207 AM  DRACHTEN","1","9207AM","1","DRACHTEN","0","0","0"
"01104583","0002","H",,"00003209","2393","3",,,"Best Styles","3","Best Styles",,"3","Best Styles","3","Zuiderbuurt 4","3","Zuiderbuurt","3",4,"3",,"3","9203 CW  DRACHTEN","3","9203CW","3","DRACHTEN","3",,"A","Het Wijd 20","3","Het Wijd","3",20,"3",,"3","8939 BG  LEEUWARDEN","3","8939BG","3","LEEUWARDEN","3","0","3"
"01104583","0003","H",,"00003209","2385","3",,,"Best Styles","3","Best Styles",,"3","Best Styles","3","Akerkhof 7","3","Akerkhof","3",7,"3",,"3","9712 BA  GRONINGEN","3","9712BA","3","GRONINGEN","3",,"A","Het Wijd 20","3","Het Wijd","3",20,"3",,"3","8939 BG  LEEUWARDEN","3","8939BG","3","LEEUWARDEN","3","0","3"
